Emotion,keywords
joy,happened selected secondary school start form october 1980
sadness,christmas eve: tension parents try restore harmonic atmosphere mother stayed room day felt sad
joy,4am im wide awake sore throat amp lots water :(
sadness,lundi j cole je ny serai pas
joy,school thought pass mce end year announced radio passed happiest person
fear,thing holding #failing
surprise,grandparents surprise anniversary party
anger,’ aware gravity situation 
sadness,  ah thanks lady unfortunately homework command station set
fear,“  afraid tomorrow seen yesterday love today #less” onwards amp upwards
joy,feels good red light bb flash (y)
anger,bury ur uve killed it u bury quotliving angerquot functions seed amp grows bitterness tree  
joy,  u amp   south p bus semester 
sadness,disagreement parents father sister aggression continued father tried sister mother revealing facts happened past like talk father mother law told mother save
joy,otter box
anger,angry day teacher told sweep orange peels friends supposed sweep teacher told it
sadness,juicy couture rainboots ripped them thrown juicy starting now
neutral,good 
joy,happy ive finished english coursework 998 wordss :d
fear,nervous martin bean 
joy,eating biscuits drinking milo (chocolate energy drink milk usually drunk warm) friend college well withold feelings others friends pretty good cheering homesick
joy,stupid iphone4 broke again hopefully work 5 hours
joy,practice tomorrow @ 7:30  sleep   gnite  
surprise,finished presentation voting systems politics society im party list pr #donteatme
sadness,:( sad face missing bestest friends world need guys
fear,attacked knife
joy,nw road shit good hell
anger,week friend called said moody difficult persuade got angry her
joy,cold crap im stuck waitin momma outside gym
anger,looked little resentful earlier   dare hope   slightly anxious 
joy,elaine exclaimed  delight evident entered openplan living diningroom decorated fresh lemon blue fabric christina chosen 
fear,dh criticism drugs medical regime re frightened 
surprise,love walking house 9 foot christmas tree standing favorite chair was
sadness,received syjc results marks obtained expectations missed admission engineering
joy,wohoooo 3 pages works cited guess ill finish tomorrow start lovely 10 page paper
joy,  announced birthdaymas present steam holiday sale shopping spree #cheer #christmas #steam
sadness,retire picture michael emerson weird amazing expression
anger,gave personal information friend mine told implicated affair
surprise,finally long lost best friend  
joy,pretty exciting im seminar 49 ladies business owners
joy,ugh ate im feeling sick now #not #fatkidproblems
sadness,lead secure life thing remember song nineteenth century alcohol melody word (although naive) effected emotions
anger,best stat night kyle getting mad refs 3 times
sadness,uhoh  im trouble 
sadness,liz looked woebegone felt staggered stuffy carriage  barbara burst laughing 
fear,“  someones heart #asswhooping gone receive ”
fear,    lol new somali brodaas discipline
joy,  good enjoyed :0) going sleep early start night love x x x
joy,  son shares things asked to like offering strangers sweet brings joy hes 3years old
joy,oh  
sadness,feel like crying like wish u knew felt rite
anger,peeved robert kilroysilk credited inventing egg trick recent colour supp profile 
fear,war dragged modigliani s horror waste life increased 
joy,bought sheets amp plank bed im going close eyes amp fake dead 
disgust,john devereux kevin ellis toured lions  number unlucky disgruntled welshmen left 
joy,identities taken ones foolishly hope in cant were children god
sadness,sorry  improve dishes time 
surprise,best thing job is christmas bonus forget coming
joy,working necklace design
joy,eye doctor eyes got worse
surprise,  ah :s  dommage alors   ben jte dis la par écrit 
sadness,coffee bill russell book :(
joy,happy understood girl liked love me
anger,acting like idiotic schoolgirl  intelligent woman  thought exasperation 
anger,heres good joke: verizon customer support
surprise,tooday passed pretty quickly
fear,m frightened feeling away  s fragile  want break 
fear,find 2 year old daughter ran looked find her (i finally found her gone bed sleep)
sadness,day rouse trailer  lee marvin entered quietly found sombre  lonely  sad man 
joy,felt joy passed worst phase life discovered people considered important them
joy,passed year come second year
joy,leave past past
joy,al final acabo cayendo en lo de ir
joy,work go gotta stick 45 minute bus journey mind
joy,time bed guess work 96
joy,brain fried started homework
joy,day started ended better date night   #sushi
anger,impression arouse anger see angry respects ~richard m nixon
anger,ridiculous mad      seriously mess important school papers
joy,today big day  swim 3 times 50 m
surprise,wordt een uitdaging moet met junior mooie surprise maken voor ajaxfan #sinterklaas
joy,so teachers decided homework semester week
neutral,feeling
surprise,je passe de sexe depuis un mois je men passe tres bien
joy,ive gone scissors happy fits room lights work freaking world
joy,guess im stayin entire class period today 
anger,butcher incensed 
joy,day told accepted student economics
joy,ill working 2 different kitchens tomorrow trip southmead
surprise,eventjes sinterklaas gedicht elkaar zetten dan rest van cadeautjes pakken
fear,gain confidence experience stop look face~ e roosevelt
fear,negative faithwhat #fear attract #truestory
anger,recently football match national teams bulgaria france felt strong anger scottish referee ran match partially
sadness,able distinguish dream reality
surprise,quot rt follow   win 5 special collector items giving away twitter friends #rt #win
anger,remember school saw case partiality  teachers gave private coaching classes girls girls extra attention class ignore others
anger,care re offended  s truth  
sadness,odeio ouvir um disco legalprocurar um lugar pra baixalo e não encontrar =s ( )
joy,bought treat friends   delivered found sponsor #ilovemyjob
fear,smell smoke 
surprise,follow crowd  crush sophomore year la happy birthday
fear,dome squad 2012 rude ronchy ruthless
joy,spca tomorrow community service
neutral,thank  suppose doctor 
fear,l sleep nah good darky cold nite
fear,cinema dream house
sadness,understood marriage falling apart decided legally separated
neutral,thanks 
fear,damaged tap residental hall
sadness,  era meglio quella dove cero io
joy,read book write paper 8 days
surprise,saw glance puzzlement ask fully dressed 
anger,terrible house 
joy,lunch old folks club heading tampa
joy,lockout over roll 66 game season
joy,people greater world know #god loves grains sand world
surprise,rt follow   win 5 special collector items giving away twitter friends #rt #win
anger,live weeks ago woke man end bed coming bed me angry told out surprised hesitated started backed  kept telling  loudly firmly go id got initiative succeeded powerful message
joy,drove partially country father stopped towns stayed overnight motels joy got feedom felt real beauty country
surprise,busy day wish 5pm time everyone hahahaha
joy,blank
fear,personal definition ambivalence: finally date experimental surgery
sadness,manager jumped mistake today 
fear,course wants kobe paul together allowed lebron wade bosh wtf
sadness,ugh   game showing channels
anger,supposed  far ’ turned  ’ left work  break ’ day 
sadness,  going daysto bad ill miss
joy,omg loveseat living room cleaned off cant remember time sat it
neutral,hi  kate 
fear,afraid tomorrow seen yesterday love today #less
joy,soak tub bed school am  night tweeties :)
joy,sondheim mood today course monday cancel lesson (where work sondheim) pneumonia
neutral,thats true  tickets cheaper week 
sadness,feel like total selfish bitch :(
anger,situation keeps occurring  little sister disagrees viceversa similar temperaments end feeling angry fighting unimportant trivial matters
sadness,  yeah strange feeling sarcasm cause tweeted days ago wanted hahaha
sadness,final csa cult meeting
surprise,surprise opoo :d rt   dapet bonus tuh rt   pulsa 20 ribu aja pun heboh x kw ( ˘͡ ˘͡)
joy,gotta tomorrow thou friday night consist  writing paper load algebra
joy,people freak giving best friend running huggtgtgtgtgt
anger,sounded disappointed david knew suppressing exasperation 
fear,years protected seed time beautiful flower~sc paul
joy,im sorry  whats 
anger,  phone dies right middle breakdown 
joy,14 hours shopping deal vomiting animals
joy,biking boyfriend sun shining long period bad weather spent evening night together
sadness,bunny ears cell phone cover falling
joy,guess start reading 1000+ page book cause im 300s gotta ready wednesday
surprise,said perfect real wit cha surprise
joy,hoping better day wait conditioning #dreamstream
joy,love raining walk class
fear,love love love da onli thing truly
fear,bishop gray quick speak express  dismay extreme disappointment announcement closure 
joy,gonna nerd homework kill christian gets like 1
fear,scared hell feelings maybe stop b4 begins
fear,2)march 2009the market said : opportunity therebut courage missing factor strong
fear,    ill cry wanna die 
anger,living flat things me finally threw prejudiced people esteem lot
joy,break think like apologize to smiling feel hug tell ok #ljb
fear,quot turned hatred amp violence human #heart quot ~ stephenie mayer
surprise,arjtoítameypg nose si hoy vas ir buscar no
joy,dude opposite feminine finger(s)/nails #manhands #ihaveem
sadness,hate weak nails are cut breaking :( #manicureneeded
sadness,bye alec ill miss much fun belize
anger,damaged wristwatch liked much
joy,family gets week holiday everybody feels free trip planned works enjoy ourselves
joy,took quiz government hated those essay 2 projects homework test amp finals
joy,6 hours field hockey weekend
surprise,  rape yell surprise
anger,preechitrt   righteous blows clams up surveys situation amp obeys god spite satanic aggravation
surprise,horrendous traffic leaving preston
sadness,movie black civil rights # kanye lol
anger,comrade staying doors insulted called misuse iron called stupid self centered etc wanted punch instead went walk mining school cool off
sadness,doubt pass 
sadness,seatbelts safe accident cause terrible pain day
neutral,scared ask 
joy,looking delighted prospect  stood 
anger,oh right  present company excluded  course 
sadness,parents experience deep pain despair teenage children 
joy,christmas break= bitches jerks hated high school coming home entire month
joy,landlords pleased find apartment blocks overnight property tenants 
joy,boyfriend playing cat playing games telling nice things her
joy, excuse dang lang brotheri mean know juggle balls like wrangling brothers ^^ #
joy,outfit bitch im killing hoes
joy,train rides enjoyable ears bleed entire trip
joy,dance practice 4 hours
surprise,yeah think u deserve reward that
sadness, crazy   oh dear   known  talked downsizing   ive got family
fear,going nkhoma saturday vehicle moving fast feared crash road rough
joy,reunion wife legal separation
fear,walking street late night (230 am) quiet man approached said \hello\
neutral,ok 
fear,  chaii rita devil lair ogod lol
surprise,ramsey came read book  later life  astonished  point burst laughing  discover irrational expressions use 
sadness,tone sad 
joy,cant help 2 think abt ppl 2day food 2 eat pray god brings amp provides need
surprise,  matilda shoots carrot brothers mouth
surprise,harry potter weekend surprise
sadness,father suddenly fell ill stayed 3 months hospital: month intensive care academic hospital died
neutral,hello 
sadness,todays soundtrack goes rain
sadness,  business school success
joy,  aloe vera lip care amazing utter timebut especially #winter
joy,wait high school year half go
sadness,sad u know people break profile pics change
anger,end things ready relationship 3 weeks later dating someone
joy,windy day mess feeling wohoo
joy,considered thoughtfully  gleam amusement came eyes 
sadness,days well tire taking digs insanesibal others tire stupidity #fb
fear,quota leader coach judgequot #lean #systemsthinking #development #hr
shame,obviously going speak jenna embarrassed caught  embarrassed idea walking haughtily room word 
surprise,shocking rt   midnight im allowed inform gunner kiel 2011 indiana mr football
fear,kid opened door greet father came work day happened hair scattered overcrowding train opened door usual saw else scared talk
joy,remembered bar chocolate bought whsmiths earlier
anger,met new girlfriend man street
fear,aftermath war government said concerned turkey s increasingly prominent international role 
surprise,wondering waiting tomorrow #excitedlyfrustrated lolxd
joy,land uggs considered appropriate footwear foster people quotindiequot
sadness,mac dieneed charge want leave
sadness,lost tanning goggles:(
fear,côté de chez moi il une offre pour des quotcours de français pour femmequot… soit elles ne parlent pas la même langue soit…
sadness,mother good friend died
joy,eggs pancakes n bacon   :) watching august rush gorgeous christmas tree
joy,english vocabulary state right politics
fear,didnt like personally 1st try couple ill know funny rap camera
surprise,gonna flip everyones world upside down cant wait
joy,  lots things bring like bed christmas love especially im family xmas= #joy
fear,    exciting except yerno finished essay translation
joy,mother friends gave surprise birthday party  invited large number friends too
sadness,gain follower lose one stuck 123
anger,dear tv channels ur playing sporting event instead ur regular programming thats wats airing guide
disgust,popping cherry + sitting outside best buy smells like straight piss
joy,5 hour shift turned 8 hour shift
surprise,found dollars jeans worn 8th grade
fear,alarm set 6 reason buzzing thinking krul busy day today
anger,failed exam thought pass
anger,returned taxes expected
fear,place breeding ground hate #sadness #confusion #alienation #judgement
fear,vu quon retourne plus par la suite
joy,tonight ill announce lucky winner cookie cookbook :) xoxo meantime enjoy fantastic day
neutral,yes 
sadness,gosh damnitjust got work  amp gotta dick homework amp sack
anger,hywel glaring mad suit 
joy,looking forward terms create sessions   sensory sequencing movement makaton music amp shakespeare
anger,career wife spoke exasperation husband listened half ear watched television 
joy,bye bye man u hahahahaha
surprise,dad hopefully buying iphone today xmas
sadness,      missed school today missed band class choir :(
joy,hate thinkin bout work b4 ii bedim gonna nightmares
anger,quotin #sin: let sun angry #devil footholdquot ephesians 4:26
neutral,ok 
anger,excuse  time waste  ive hour 
sadness,  youtube claims new dragon roost island video ft veela private video emailed :(
fear,✓rt   afraid tomorrow seen yesterday love today #less
surprise,family nc unexpectedly arrived house
sadness,  im dissappointed agreed river waz gojng dedicated
anger,girlfriend disliked played majong (a game gambling) expressed regrets went neglected existance angry left displeasure
joy,love christmas break :) amp subbing tomorrow
fear,maybe im naturally hysterically happy spent years bit moany angry hormones
surprise,  ur welcmeano gagawin mo bday monabangan ko bday mokc lilipad ako janhaha
disgust,eww hate hearing people eat sitting room people eating plus dogs =
sadness,amanda s grief father compounded anxiety ontological status 
joy,bomb ass dinner tonight 
fear,quot  afraid tomorrow seen yesterday love today #lessquot
anger,don’t touch angry person permission
anger,mad expect delicate business preparation vologsky speeded crude operation factory bench 
fear,    sound bob sounds tough
joy,quottill appeared soul felt worth thrill hope weary soul rejoicesquot #itsonlythe10th  
fear, rules laws people frightened losing property  sort people frightened mugged night 
joy,class 2 5:30 need come home write essay thats tomorrow #bitchtweet
anger,“  ok cant find car max building up”
joy,captain mcarthur musical comedy aficionado  pleased mrs kingswood spoke critically form 
fear,deny given usif refuse love #pain lossthen lives emptyour loss greater
sadness,feeling left guelph party
joy,thank 
fear,  bad asswatch tweeter world come age #bringthepain
joy,vanavond halve finale en vanaf 6 december het weer time
fear,feeling little anxious thought bed night 
joy,laying bed window open cool breeze listening book numbers
anger,need sign nonaggression pact
sadness,like woman abortion feel lavatory express grief tears 
sadness,have rt   oh got home find gone surprise 3:30 :|
fear,afraid tomorrow seen yesterday love today #less
anger,pickpocket robbed money (k20) buying bathing soap
joy,1 black friday shopping accomplishedpart 2 starting 4
joy,thanks reminding  right person help 
fear,quot  afraid tomorrow seen yesterday love today #lessquot
fear, return sources  discovers primitive celebrations entirely divorced modern sexuality  concealed deathly horror 
sadness, sad mummy nasty   said 
fear,oral examination long time especially day examination feeling studied time it
fear,la lampada sopra la mia testa ha scricchiolato
anger,thing keeps going work imagining making huge scene walking hell management
neutral,oh 
disgust,guy flight wearing egg mcmuffin scented cologne
surprise,mrs carole baptist physical therapy nice thanks chick fil a
neutral,guess 
joy,feel joy usually taken exam february
neutral,yeah 
surprise,got dec   issue thought bc forgot reorder ampalmost bought td woohooo
surprise,adam van kouverden sinclair ohh im sound #freeday
joy,friend replying letter saying attracted suggesting write talk things went suggestion ring good  insane conversation
fear,knew sin sent glory like lamb led slaughterand died usand hes comin
surprise,love getting home little cousins sleeping over
joy, mother pleased happy 
joy,animal perverse delight terrorizing 
neutral,speaking 
neutral,3pm 
sadness,necessary watch elf right now bad got deleted dvr
sadness,saw dating exboyfriend 
disgust,no blowing cigarette smoke face sexy
sadness,hate time peanut takes nap cant /
joy,peter conceal excitement limelight 
anger,closest friend fucked 4 ex amp believed lies forgive forget treachery
joy,listening   journey homeon thurs
anger,do hasten resort lest prevail #habit’ #imamali
joy,beautiful girl world girl makes world beautiful
fear,matter times shower cant wash gads
joy,absolute delight trap held seven pound salmon  plus couple mullet ignored 
sadness,feeling lil downits crazy im left memories
sadness,friend leave other
fear,falling cliff mountains
sadness,derby county s grief foot division continues went crystal palace 
joy,morning bother photographers w/ emails over begin eating taking bus work w/ screaming children
sadness,  awkward moment gorilla shows party shaves everyones moustaches claims
surprise,ms linda dont know im coming either  hate surprises love
anger,couldnt play physical sport fights
disgust,feeling disgruntled good films d obviously missed man came stage read nominations categories 
joy,lt  im talking bout black ass 
anger,dean university asked vacate big flat occupying smaller time student university
neutral,certainly 
surprise,gedoucht nu klaarmaken eten en naar school met de auto
surprise,taking detour trip brother :))
joy,easy caught holiday rushbe aware momentbuild silverwhite pillar self present radiate #mindfulness
anger,yes  sunday went nearby market  openair fair  chanced bag bought spot  trying strike bargain  paid  told chinese colleagues bought overpriced  talked way thirty 
joy,autumn best season beijing  know 
joy,going party 
disgust,understand goes people heads decide touch children innocence away straight
joy,great wisdom teeth pulled
joy,meeting conversation woman (somewhat elder me) considers child (she child own) years lived (no relationship)
anger,complaint  ive badly treated rude maid 
surprise,pictures mirror reality 
surprise,rt follow   win 5 special collector items giving away twitter friends #rt #win
sadness,madrigal life miss square
sadness,stuck crying cant drive fun
joy,time start research paper
fear,visto hoy : cf dándolo todo muyyy drumnbass ella jajajaja oo
joy,early awake start hour drive lbk
fear,stop playing basketball fat
joy,happy victory germany expected win races year  
anger,man treated dog badly  insulted beated dog kept lying floor tail drawn in
sadness,  ai hometown garner party southern pines was saw him
sadness,feel like walking ending spiral staircase #pain
fear,aint america grand lets thankful cause shiny told well like teevee
anger,jealous husbands old girlfriend met husband lot reminiscing
sadness,  person hit twitter best friends boyfriend #ourfriendshipisarelationship
joy, boys totally happy initially undisciplined children visiting home generally regular basis 
fear,today start health safety course hopefully end boring person
joy,  where jealous im writing dissertation day tomorrow #festive #bahhumbug #ahbumhug
joy,5 beautiful days off im going work
joy,deeply ~ connect soul amp yr true essence  #passion
sadness,[ooc:] afraid bit rp account acting up
surprise,come home amp mom acting weird downstairs christmas tree up
fear,    know joking cos family thought drink gives
joy,come home little sister slumber party house
sadness,feel like baby face nappy beard
neutral,ok  bye 
fear,  selon doctissimo le verdict est sans appel: cancer du cerveau 
sadness,  : grew balls today unexpected failed challenge balls shriveled
sadness,’ sorry ’ 
sadness,  missing game night :(
sadness,musical over skid row running audience flashlights
joy,leek present mcr redo weeks worth work days
surprise,left room 5 mins came im me
surprise,actually time school today
joy,like morning argument breakfast #asshole #smh
surprise,  well skip telling alec part walks hall yell
sadness,ouch moment u found out special
joy,jakarta quotmagical electroquot djs:   #christwist #khalid amp magician master daniel gl: #danes  
joy,passed driving test weeks ago got licence
neutral,live downtown  parents 
anger,noon time actually got sorted  annoyance lady public relations company hired 
surprise,ive started watching think moral con artist viable backup career secret is: people greedy
joy,great  knew id win 
sadness,selected university malawi felt sad
joy,homework time fringe #timetorelax
surprise,  haha okeeje weet yoch wel al die toetsen doe ik erop moest maken die zitten er allemaal op
joy,amid intense media excitement stringent security mandela given tumultuous tickertape welcome new york received freedom city 
sadness,  wow orange girls color worse #stripes lol
joy,going salad homework rest life
joy,death ego rise planetary collectiveness peace starts within
fear,create new fair chance everybody  # jealousy #mindfulatlife
anger,sister promised help translation english german day needed told busy  angry
shame,felt embarrassed prospect meeting 
anger,lucy sent resentful glance adding explanation presence 
anger,government resolutely refused comment january 1978 suddenly heard exasperated lord rosebery broken sale given sotheby s goahead auction contents 
surprise,treasure trove exciting old shoes wardrobe morning :3 pair summer suitable
disgust,okay bigbangtheory chance quote green lantern oath incorrectly blackest darkest
fear,mother nervous illness
surprise,dad wanted spend thanksgiving him
fear,    man james kill do theyre afraid kobe cp3 #blackmamba
joy,dear   hope birthday filled amp fine day #justkidding #noimnot love you happy birthday
anger,lt skins game yesterday
neutral,sounds like pretty cute  think 
sadness,justins letters upset
surprise,je lui ai préparé son sac pour le voyage en train des sudoku (sa passion) et un crayon de papier mal taillé pour le fun
anger,strangely  felt resentful lady s peremptory commands merchants  wives previously obliged swallow 
anger,monthe ago brothers wife told bad manners matters worse let use telephone allowed people tribe
sadness,death close family
joy,recommend ride bike instead commuting bus  offer benefits   good health  im afraid necessary elaborate  lots people spend time like hour morning exercising  bike ride work builds  makes use time  sleep longer hour 
joy,break 1000 angels cheering you blessing you fully supported feel amp enjoy it #ljb
joy,days final examination school sitting airplane way greece enjoyed moment much
neutral,yes  
surprise,scuffles garden  rat ran balancing fence afternoon blackbird flew middle hedge
fear,home alone felt supernatural force dangerous people close me
surprise,feeling queasy run road spew sister
fear,heard women raped uni near usually park car walk night danger unnerved days fearful walking area
joy,cant believe theres 13 days left christmas let time crunching begin #presents #lastminuteshopping =)
joy,parents leaving again week chaos
fear,voices tell go go mann im comfortable here head place people live
joy,new driver family insurance rates going need find car mind wrecking
surprise,wow brothers actually pretty time tonight
fear,#lord fell kingdoms lands #judah war jehoshaphat
joy,time write 2 page ap world paper idea about
sadness,felt love
anger,bloody computer 
joy,loaned book   night means im reading 100 pages tomorrow #ohwell
joy,great  wait  ’ room amplifiers  microphones drums  way practice 
fear,spending summer holidays village friend coming discotheque night heard noise alley scared got friends house moment later unknown car picked person alley
fear,cottage stay in woken rustling sound middle night
anger,finished 1st stanza 1st guitar song getting #classcounciness there probably going shit mind
anger,wanna nag  usually time need :(
anger,friend (girl) promised help hospital examined good experts deceived me
sadness,francis totally disconsolate added :  way fans came best ve heard  hope continues 
sadness,downhearted 
shame,felt guilty thought maeve s sweet face  embarrassed powerfully attracted woman dedicated god 
disgust,cant   disgusting conversation morning honestly wanna throw
joy,sounds great  willing  ask dancing usthat excellent exercise fun  
fear,kendallhume turned face dismayed couple 
joy,new concert hall acoustics great 
surprise,      thought mark clear winner 
disgust,lol thats rude rt   cant believe guy talk gonna baby
sadness,wrong minute feel dancing kitchen #davidkitt #smallmoments
disgust,absolutely hated smell bathroom smelled like tangy coochies
anger,    im getting live stream chat home
fear,everyones left room whilst mum christmas tree
neutral,year helped trouble  
neutral,let universe find instead forcing love  prefer natural love  important thing happy  love find later  
joy,probably bed soon church morning
joy,oh jesus time girl pretentious heck presentations
joy,wanna sleep till thanksgiving school preventing that
fear,years protected seed time beautiful flower~sc paul
fear,afraid fail examination
fear,    know joking cos family thought drink gives
disgust,quot  b*tches washing hands leave bathroom quotewwwwwww fuck
joy,sweet moment toddler accepts christ savior
fear,imagine horror 
joy,sweet rt   rt   manti teo return senior season #notredamehis father confirmed
fear,im nervous oral test 
joy,gray gloomy theyre putting christmas trees church #smellsamazing
fear,neighbours life threatened trying break house
surprise,nous aussi )   cest maintenant confirmé nous aurons toute une activité pour la nuit blanche de  
joy,moment stares person reason
fear,know pop bottles cause bottle emotions open
fear,cant learn latin :/ rt   learn history cant concentrate think im bipolar
surprise,whams christmas trending *o* id listening listening mars volta
sadness,ive lot today  forgot set alarm clock night  woke late morning  worse  missed school bus 
joy,dear lord  stupid  thought scarlet  saw camille respond surprised gratification matador bull blindly turned flank 
fear,simply ignore fact sentenced death  important let know rattled 
joy,mum  
anger,work ages gets handed plate
surprise,movie tonight wit   n dinner guess
joy,annoying moment realize left bought targetat target
neutral,carats 
fear,dark night outdoor lavatory
joy,play real quick little sister
fear,quot  afraid tomorrow seen yesterday love today #lessquot
joy,rt   jk forgot present project msgroths bitch ass
joy,start major cleaning project house
joy,winter weather advisory #sarcasm
joy,helllllll hole tomorrow
joy,spoke friend phone seen years joyful event talk him
sadness,little children (5/6 years old) begging money gave money
sadness,  found out dragonsong kid(stolen public school library btwhee)
surprise,bringing straight hair think
anger,waitress returns  indignant boss boughtandpaidfor apathy 
anger,busking playing musical instruments underground  annoyance passengers  offence
joy,got package mail:) im class amp got delivery conformation ipod quotdelivered deskquot
anger,day riding bicycle path car coming opposite direction forced bike priority
joy,mean 38 let low life mf steal
neutral,right  billhere  daily exercise schedule  jog breakfast 
fear,serving dish great entree called #control
joy,sick husband bought piece cake
surprise,man played video games cleaned house #awardedbestgirlfriend
sadness,  ready lol long start study aka watch econ lectures youtube
fear,crip walkoff rt   ecs preparty im nervous digestive organs      
surprise,1e afmorgen die voor mijn mama makeneen laptopga ik proberenheb nu iig alle cadeautjesdag voorbij gevlogen#twexit
joy,undergrounds escalator youngish bum asked money anything fellow told goodlooking man turned look me
joy,  know tries add facebook continue denyfinally messaged told leave
sadness,  hope quick fix
joy,car packed nc work 10 hours
joy,feeling like trash plus work day tomorrow
joy,tram sans music subjected random strangers inane telephone conversations
joy,totally rt   flash mob cst video superb
sadness,failed standard 8 exams friends passed went secondary school class getting marks did
joy,day expecting god up gift someone
fear,ive decided write esquire im going try job though ill probably end content writer maxim
joy, yes  yes    told  feeling ridiculously pleased clearly enjoying attempt baking cake 
shame,adolescents going embarrassed ashamed teacher suggests dialect  identity  radically changed 
joy,homework finish 8th period
sadness,  use fcp7  media went offline horrible reason wont online tt^tt
fear,tried sleep  desperately nervous tomorrow 
joy,crown grave imma underground queen
anger,let end grumpy old person wants that cuz old people stink
joy,ok  mum  ill invite friends home 
joy,quot  sweating bollocks work breeze blocks laders alllllll day #easonsquot man up daily
joy,thank ladies     cant wait join fun :) setting christmas tree
joy,beginning feel lot like go time year #happiness
joy,love chilling poodle saturday night
anger, vexed  john 
disgust,bwahahahaha rt   thinking bed crazy close look differently
anger,damn fergie nights adebayor 1st goalscorer loot beat benfica home vidic squad
anger,love great day thing ruins day
joy,woken munchkin 730am amazingly late hes whizzed join big boys sleepout ms5 asleep
sadness,sorry  travelers tables booked day 
surprise,net samen met jongste spruit gemaakt voor klasgenootje verf moet nog ff drogen gedicht = ze nog mee bezig dus gaat goed komend
joy,christmas time best time year 
anger,hafta wait year 2 woooow bullshit
neutral,fine 
surprise,  cheers playaaaaaa ) heard left telling vaughany hah monday guess
joy,waking bad pain stomach best alarm clock :|
joy,ive learned day weekend
sadness,best friend got married left hometown live poona wedding felt sad
sadness,ehexam finals time
fear,feeling little frightened dead body cart  depressed autumn fog  stopped beer pub  met jan coggan laban tall 
fear,  selon doctissimo le verdict est sans appel: cancer du cerveau 
joy,    notice penis comment lls
disgust,people actually my bit instead my girlfrend/whatever geordie thing
joy,m delighted learn advice sought present enterprise 
sadness,  whats point kiss cam win arnis gift card
fear,spies fruits big land giantsbut lord told land
neutral,help 
joy,dougs sermon quotpeacequot morning start observing week advent: quotjoyquot #advent
surprise,ugh second time upnot feeling gold
surprise,brown boots came black ribbon laces want pink
joy,meet season tomorrow  
joy,  spa day girls involving lots wine
neutral,yes  think probably best 
anger,bad food students dining hall
joy,shown way life fill joy presence acts 2:28 #faith
sadness,hate animal cruelty commercials come on makes wanna crawl hole die
anger,sister came home reproached tidied house working morning nothing
surprise,got baby sister   perfume 2day gna happy purchase   ♥
joy,precal final 7 amguess going pulling allnighter oo
fear,stay mum time came dad joined family working place found fear cause all
neutral,yes  ’ manager   madam 
fear,saw horrified expression   stopped doctor fatherly instead 
neutral,sign monday wednesday 
joy,  lets 2000 quotquotaquot day wasnt met :l heading library tomorrow  text :)
joy,found girl love loves me too
sadness,mid 1985 test nursing classmate answer sheet tried peep nursing tutor caught him time turning question paper noise friend blamed causing matter caught
fear,  rt   return super dragon teaming   vs    
joy,best thing day 3: i’m thanksgiving holiday yeehaw going paint paint paint finally #joy #joy #joy
joy,going finish watching tuf 5k jog ands fucking freezing 
anger,mam got mad d  nt  moaning noises stagger house dying 
fear,economists feel deep disquiet use food grains produce motor spirit 
sadness,kai     took leak amp sed feels like jst orgasm
fear,way tell man love years older wont hurt him
sadness,people text  feel like loser
surprise,everyones jumping watching called scary movie scary
joy,  officially favourite celebrity tweeter
joy,solo flight ardmore kaikohe got pilot licence remember gorgeous day natural high cruising coast maps compasses gear pilots seen wished good luck real adventure
disgust,1930s antisemitism literary figures like hilaire belloc g k chesterton coexisted uneasily revulsion racial policies new germany 
fear,think im scared future holds wishin things im use those
joy,son born
fear,finding lecture doctor misdiagnoses ignorance neuropsychology
surprise,mom waited got dressed dishes decided start eating 7up cake #yesimpetty
sadness,lot  satisfaction 
sadness,  pretty sure time asked hang passed
sadness, feel despair deceived betrayed 
joy,umm 25 hours sitting table health fair downtown
sadness,catherine looked downcast  mcleish felt uneasy 
sadness,learned boyfriend engaged  glad found wanted sad personal loss hoped day reconcile
sadness,feel like talked   forever
fear,fake people dont wanna nd dodge em 13
neutral,id like weekend  want drop chat 
joy,im n holiday spirit habent felt like 7 yrs old aha
surprise,finally different hair tomorrow
sadness,sad admission english college 1% marks wanted
joy,excitement shone eyes showed sketches 
joy,livin day vassar high student
fear,ce soir lordi de la deauville remis tous les compteur à zéro (sauf km total) comme si javais débranché la batterie cc  
fear,got know friend closest got engaged going away overjoyed her felt frightened emotionally dependent her know her
joy,uttered short sharp bark  rosie jump  assumed cough  realised intended expression amusement 
joy,able pride amp surrender god lol
fear,s lot pain  extremely anxious condition  
joy,finally weekend starts time write again¸¸•*˚¨˚* ☆∗♥∗☆ first #ffs lovely people follow♡
fear,creative block bodys natural flow #instincts #intuition cultivated western mind
joy,committed course action felt exhilarated 
fear,loathing man fear loathing hunter s thompson #alwaysfollowback
anger,motivation stronger passion increased accomplish #desire increases hunger
sadness,feel need sing able find right song sing :(
joy,finally quot time time #cheer quot
neutral,real problem meet people 
anger,teacher unjustly gave zero test saying cribbing
surprise,en qui tweet pendan que je pren des foto deux la bouche ouverte
anger,showed anger public virtually ignoring charles 
joy,i cry rt   need finding nemo 2
neutral,course  tv stations need money commercials programs 
surprise,alles staat vandaag het teken van #gedichten en door de #regen en #wind de stad #pakjesavond
fear,providing parents grandchildren child
